Time,Pressure,Derivative
2e-05,0.008316,0.007792
3e-05,0.012465,0.012674
4e-05,0.016609,0.017112
5e-05,0.020896,0.021232
6.3e-05,0.026287,0.025802
8e-05,0.033063,0.032497
0.000101,0.041578,0.042603
0.000126,0.052274,0.052932
0.000159,0.065705,0.064794
0.000201,0.08256,0.081979
0.000253,0.103697,0.103889
0.000318,0.130184,0.130161
0.0004,0.163342,0.161898
0.000504,0.204801,0.202564
0.000634,0.256564,0.25296
0.000798,0.321077,0.314094
0.001005,0.401304,0.390219
0.001265,0.500811,0.482995
0.001593,0.623833,0.596184
0.002005,0.775331,0.732569
0.002524,0.961006,0.894947
0.003177,1.18725,1.08573
0.004,1.46098,1.30703
0.005036,1.78935,1.55998
0.006339,2.17918,1.83895
0.007981,2.63616,2.13786
0.010047,3.16373,2.44394
0.012649,3.76165,2.73744
0.015924,4.42444,2.9934
0.020047,5.14009,3.18156
0.025238,5.88959,3.2741
0.031773,6.6479,3.25139
0.04,7.3869,3.10964
0.050357,8.0799,2.86572
0.063396,8.70655,2.55497
0.079811,9.25645,2.22225
0.100476,9.72986,1.90943
0.126491,10.1357,1.64518
0.159243,10.4874,1.44111
0.200475,10.7992,1.29433
0.252383,11.0833,1.19366
0.317731,11.3488,1.1259
0.4,11.6017,1.07976
0.50357,11.8458,1.04724
0.633957,12.0837,1.02331
0.798105,12.3168,1.00505
1.00475,12.5462,0.990793
1.26491,12.7726,0.979552
1.59243,12.9967,0.97068
2.00475,13.2189,0.963701
2.52383,13.4396,0.958254
3.17731,13.6591,0.954063
4.0,13.8776,0.950911
5.0357,14.0952,0.948639
6.33957,14.3122,0.947131
7.98105,14.5286,0.946316
10.0475,14.7445,0.946153
12.6491,14.96,0.946625
15.9243,15.175,0.947744
20.0475,15.3895,0.949578
25.2383,15.6036,0.952314
31.7731,15.8172,0.95625
40.0,16.0303,0.961582
50.0,16.2363,0.967774
60.0,16.404,0.972831
70.0,16.5451,0.976155
80.0,16.6665,0.97746
90.0,16.7727,0.976386
100.0,16.8666,0.973096
110.0,16.9505,0.968874
120.0,17.026,0.963241
130.0,17.0944,0.956425
140.0,17.1566,0.948636
150.0,17.2136,0.940067
160.0,17.2659,0.930882
170.0,17.3142,0.920915
180.0,17.3588,0.910945
190.0,17.4001,0.900294
200.0,17.4386,0.88995
210.0,17.4745,0.8795
220.0,17.508,0.869008
230.0,17.5394,0.858296
240.0,17.5688,0.847871
250.0,17.5965,0.837519
260.0,17.6225,0.827006
270.0,17.647,0.816896
280.0,17.6702,0.806916
290.0,17.6922,0.79693
300.0,17.7129,0.787264
310.0,17.7326,0.777759
320.0,17.7513,0.768417
330.0,17.769,0.759088
340.0,17.7859,0.750105
350.0,17.802,0.741189
360.0,17.8173,0.732556
370.0,17.832,0.724094
380.0,17.8459,0.715799
390.0,17.8593,0.707606
400.0,17.8721,0.699461
410.0,17.8843,0.691753
420.0,17.896,0.684065
430.0,17.9073,0.67666
440.0,17.9181,0.669291
460.0,17.9384,0.655031
480.0,17.9572,0.641437
500.0,17.9746,0.628308
520.0,17.9908,0.61572
540.0,18.0058,0.603695
560.0,18.0198,0.592134
580.0,18.033,0.580857
600.0,18.0452,0.570175
620.0,18.0568,0.559885
640.0,18.0676,0.549971
660.0,18.0777,0.540372
680.0,18.0873,0.531085
700.0,18.0964,0.522195
720.0,18.1049,0.513573
740.0,18.113,0.505263
760.0,18.1206,0.497229
780.0,18.1279,0.489449
800.0,18.1347,0.481927
820.0,18.1413,0.474652
840.0,18.1475,0.467633
860.0,18.1534,0.460795
880.0,18.159,0.454197
910.0,18.167,0.44465
940.0,18.1744,0.435528
970.0,18.1813,0.426779
995.0,18.1867,0.420265
