Time,Pressure,Derivative
2e-05,0.008285,0.007752
3e-05,0.012402,0.012554
4e-05,0.016504,0.016913
5e-05,0.020737,0.020937
6.3e-05,0.026046,0.025369
8e-05,0.032699,0.031836
0.000101,0.041027,0.041553
0.000126,0.051439,0.051371
0.000159,0.064439,0.062475
0.000201,0.08064,0.078425
0.000253,0.100787,0.098451
0.000318,0.125773,0.121938
0.0004,0.156662,0.149555
0.000504,0.194698,0.183918
0.000634,0.241309,0.224953
0.000798,0.298096,0.272319
0.001005,0.366794,0.328015
0.001265,0.449186,0.391097
0.001593,0.546975,0.461234
0.002005,0.661578,0.536365
0.002524,0.793837,0.612871
0.003177,0.94367,0.685896
0.004,1.10968,0.749231
0.005036,1.28882,0.796303
0.006339,1.47631,0.818843
0.007981,1.66586,0.812343
0.010047,1.85043,0.776387
0.012649,2.02339,0.714876
0.015924,2.17967,0.637048
0.020047,2.31674,0.553838
0.025238,2.43472,0.475796
0.031773,2.53586,0.41004
0.04,2.62355,0.359346
0.050357,2.70134,0.322918
0.063396,2.77226,0.297945
0.079811,2.83855,0.281138
0.100476,2.90172,0.269688
0.126491,2.96273,0.261599
0.159243,3.02218,0.255631
0.200475,3.08044,0.25107
0.252383,3.13778,0.2475
0.317731,3.19439,0.244671
0.4,3.25043,0.242423
0.50357,3.306,0.240636
0.633957,3.3612,0.239217
0.798105,3.41611,0.238095
1.00475,3.47078,0.237211
1.26491,3.52526,0.236519
1.59243,3.57959,0.235985
2.00475,3.6338,0.235582
2.52383,3.68791,0.235289
3.17731,3.74194,0.235088
4.0,3.7959,0.234964
5.0357,3.8498,0.234912
6.33957,3.90365,0.23495
7.98105,3.95746,0.235117
10.0475,4.01125,0.235411
12.6491,4.06502,0.235684
15.9243,4.11872,0.235512
20.0475,4.17214,0.234167
25.2383,4.22488,0.230739
31.7731,4.27634,0.224396
40.0,4.32573,0.214669
50.0,4.37083,0.2021
60.0,4.40518,0.189793
70.0,4.43224,0.178229
80.0,4.45409,0.167622
90.0,4.4721,0.157978
100.0,4.4872,0.149262
110.0,4.50003,0.141427
120.0,4.51106,0.134325
130.0,4.52065,0.127874
140.0,4.52905,0.122
150.0,4.53647,0.116637
160.0,4.54307,0.111723
170.0,4.54897,0.107233
180.0,4.55428,0.103071
190.0,4.55909,0.099258
200.0,4.56345,0.095691
210.0,4.56743,0.092376
220.0,4.57107,0.089287
230.0,4.57442,0.086403
240.0,4.57751,0.083723
250.0,4.58036,0.081189
260.0,4.583,0.078808
270.0,4.58545,0.07659
280.0,4.58774,0.074472
290.0,4.58987,0.072471
300.0,4.59187,0.070577
310.0,4.59374,0.068796
320.0,4.5955,0.06709
330.0,4.59715,0.065468
340.0,4.59871,0.063924
350.0,4.60017,0.062469
360.0,4.60156,0.061063
370.0,4.60287,0.059732
380.0,4.60412,0.058446
390.0,4.6053,0.057225
400.0,4.60642,0.056035
410.0,4.60748,0.054912
420.0,4.60849,0.053829
430.0,4.60946,0.052793
440.0,4.61038,0.051796
460.0,4.6121,0.049893
480.0,4.61367,0.048123
500.0,4.61511,0.046485
520.0,4.61644,0.044952
540.0,4.61766,0.04352
560.0,4.61879,0.042162
580.0,4.61984,0.040883
600.0,4.62082,0.039677
620.0,4.62173,0.038553
640.0,4.62257,0.037486
660.0,4.62337,0.036463
680.0,4.62411,0.035492
700.0,4.6248,0.034569
720.0,4.62546,0.033691
740.0,4.62608,0.032875
760.0,4.62666,0.032079
780.0,4.6272,0.031307
800.0,4.62772,0.03058
820.0,4.62821,0.029884
840.0,4.62868,0.029216
860.0,4.62911,0.028575
880.0,4.62953,0.027951
910.0,4.63012,0.027059
940.0,4.63066,0.026222
970.0,4.63117,0.025433
995.0,4.63157,0.024693
