Time,Pressure,Derivative
2e-05,0.006498,0.005562
3e-05,0.009275,0.008135
4e-05,0.011878,0.010396
5e-05,0.014431,0.012298
6.3e-05,0.017478,0.014158
8e-05,0.0211,0.016798
0.000101,0.025388,0.020677
0.000126,0.03044,0.024129
0.000159,0.036367,0.027504
0.000201,0.043292,0.032302
0.000253,0.051348,0.037922
0.000318,0.06068,0.043877
0.0004,0.071451,0.050258
0.000504,0.083837,0.057737
0.000634,0.09803,0.066166
0.000798,0.114247,0.075296
0.001005,0.132724,0.0857
0.001265,0.153725,0.097286
0.001593,0.177543,0.110273
0.002005,0.204506,0.124802
0.002524,0.234982,0.140953
0.003177,0.269384,0.15894
0.004,0.308171,0.179042
0.005036,0.351863,0.201707
0.006339,0.401037,0.226905
0.007981,0.456347,0.255064
0.010048,0.518532,0.286812
0.012649,0.588424,0.322318
0.015924,0.666945,0.361811
0.020048,0.755057,0.405496
0.025238,0.85368,0.452818
0.031773,0.963574,0.502791
0.04,1.08523,0.554164
0.050357,1.21877,0.605219
0.063396,1.36394,0.654447
0.079811,1.52015,0.700369
0.100476,1.68645,0.741847
0.126491,1.86176,0.778379
0.159243,2.04488,0.810053
0.200475,2.23478,0.835854
0.252383,2.42977,0.857841
0.317731,2.62977,0.87539
0.4,2.83284,0.888603
0.50357,3.03891,0.89984
0.633957,3.24712,0.908185
0.798105,3.45701,0.914663
1.00475,3.66817,0.919631
1.26491,3.8803,0.923434
1.59243,4.09316,0.926358
2.00475,4.30656,0.928624
2.52383,4.52037,0.930409
3.17731,4.73449,0.931857
4.0,4.94883,0.933084
5.0357,5.16333,0.934183
6.33957,5.37795,0.935239
7.98105,5.59266,0.936324
10.0475,5.80743,0.937509
12.6491,6.02224,0.938869
15.9243,6.23709,0.94048
20.0475,6.45195,0.942428
25.2383,6.66683,0.944811
31.7731,6.88172,0.947745
40.0,7.09662,0.951356
50.0,7.30488,0.95562
60.0,7.47504,0.959772
70.0,7.6189,0.963844
80.0,7.74353,0.967835
90.0,7.85346,0.971747
100.0,7.95179,0.975629
110.0,8.04074,0.979473
120.0,8.12195,0.983133
130.0,8.19665,0.98672
140.0,8.26582,0.990235
150.0,8.33021,0.993678
160.0,8.39044,0.99705
170.0,8.44702,1.00035
180.0,8.50036,1.00362
190.0,8.55082,1.00678
200.0,8.59869,1.00993
210.0,8.64423,1.01295
220.0,8.68765,1.01591
230.0,8.72913,1.01881
240.0,8.76885,1.02164
250.0,8.80695,1.02442
260.0,8.84356,1.02715
270.0,8.87878,1.0298
280.0,8.91272,1.0324
290.0,8.94547,1.03496
300.0,8.97711,1.03744
310.0,9.00771,1.03987
320.0,9.03734,1.04224
330.0,9.06606,1.04456
340.0,9.09392,1.04684
350.0,9.12097,1.04906
360.0,9.14726,1.05122
370.0,9.17283,1.05334
380.0,9.19772,1.05542
390.0,9.22196,1.05744
400.0,9.24559,1.05942
410.0,9.26864,1.06134
420.0,9.29113,1.06323
430.0,9.31309,1.06508
440.0,9.33454,1.06687
460.0,9.37603,1.07035
480.0,9.41575,1.07366
500.0,9.45384,1.07681
520.0,9.49045,1.07982
540.0,9.52567,1.08268
560.0,9.55961,1.08539
580.0,9.59236,1.08799
600.0,9.624,1.09046
620.0,9.6546,1.09281
640.0,9.68423,1.09504
660.0,9.71295,1.09713
680.0,9.74081,1.09914
700.0,9.76786,1.10105
720.0,9.79415,1.10286
740.0,9.81972,1.10455
760.0,9.84461,1.10617
780.0,9.86885,1.10771
800.0,9.89248,1.10914
820.0,9.91553,1.1105
840.0,9.93801,1.11178
860.0,9.95997,1.11303
880.0,9.98143,1.11417
910.0,10.0127,1.1158
940.0,10.043,1.1173
970.0,10.0723,1.11868
995.0,10.0961,1.12014
